City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
345,Kichmengskiy Gorodok,RU,59.9816,45.7854,-6.79,99,33,1.61,scattered clouds
346,Banda Aceh,ID,5.5577,95.3222,84.13,68,68,6.76,broken clouds
347,Sulangan,PH,11.1373,123.7228,81.79,72,51,17.96,broken clouds
348,Kahului,US,20.8947,-156.47,73.85,95,75,28.77,heavy intensity rain
349,Niesky,DE,51.2924,14.8211,36.03,94,100,5.28,light snow
350,Ubatuba,BR,-23.4339,-45.0711,71.24,93,73,4.52,broken clouds
351,Ha Giang,VN,22.8333,104.9833,75.27,51,2,3.85,clear sky
352,Haines Junction,CA,60.7522,-137.5108,-3.77,100,100,1.57,overcast clouds
353,Iskateley,RU,67.6803,53.1512,21.24,89,100,20.67,overcast clouds
354,Souillac,MU,-20.5167,57.5167,81.36,74,40,12.66,scattered clouds
355,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,71.62,94,4,1.86,clear sky
356,Waipawa,NZ,-41.4122,175.5153,52.45,96,100,7.47,light rain
357,Floresta,BR,-8.6011,-38.5686,75.99,74,3,11.7,clear sky
358,Whitecourt,CA,54.1502,-115.6855,6.64,87,77,2.28,broken clouds
359,Sangar,RU,63.9242,127.4739,-38.18,100,80,1.25,broken clouds
360,Narasannapeta,IN,18.4167,84.05,78.62,77,62,5.01,broken clouds
361,Camara De Lobos,PT,32.6333,-16.9667,65.03,78,40,7.0,scattered clouds
362,Huangchuan,CN,32.1272,115.0394,64.04,22,0,10.16,clear sky
363,Kudahuvadhoo,MV,2.6708,72.8944,82.27,77,24,14.54,few clouds
364,Salalah,OM,17.0151,54.0924,77.16,31,0,5.59,clear sky
365,Oudtshoorn,ZA,-33.5907,22.2014,61.16,82,96,3.98,light rain
366,Berlevag,NO,70.8578,29.0864,28.02,93,97,23.0,light snow
367,Takaka,NZ,-40.85,172.8,57.56,96,100,3.83,overcast clouds
368,Nabire,ID,-3.3667,135.4833,91.96,54,90,6.51,overcast clouds
369,Laem Sing,TH,12.4816,102.0738,87.06,100,75,7.43,broken clouds
370,Vanimo,PG,-2.6741,141.3028,86.31,72,69,11.16,broken clouds
371,Westport,US,41.1415,-73.3579,51.8,76,90,1.99,overcast clouds
372,Pokhara,NP,28.2333,83.9833,71.51,39,3,4.76,clear sky
373,San Rafael,AR,-34.6177,-68.3301,67.33,67,1,7.0,clear sky
374,Longyearbyen,SJ,78.2186,15.6401,22.84,86,75,14.97,light snow
375,Huntington Beach,US,33.6603,-117.9992,68.14,93,1,0.0,haze
376,Tabou,CI,4.423,-7.3528,78.49,86,53,7.18,light rain
377,Ust-Nera,RU,64.5667,143.2,-20.06,98,100,5.61,overcast clouds
378,Dali,CN,25.7,100.1833,59.68,58,55,2.06,broken clouds
379,Doka,SD,13.5167,35.7667,75.16,34,0,9.55,clear sky
380,Ola,RU,59.5833,151.2833,-8.3,91,53,7.02,broken clouds
381,Fallon,US,39.4735,-118.7774,33.67,60,1,0.0,clear sky
382,Port-Cartier,CA,50.0334,-66.8654,13.44,68,41,5.03,scattered clouds
383,Esperance,AU,-33.8667,121.9,66.04,66,87,18.77,overcast clouds
384,Lahaina,US,20.8783,-156.6825,73.81,95,100,28.92,heavy intensity rain
385,Christchurch,NZ,-43.5333,172.6333,53.8,85,90,1.01,overcast clouds
386,Doha,QA,25.2867,51.5333,67.98,60,0,3.44,clear sky
