City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
68,Develi,TR,24.15,clear sky,38.3906,35.4922,DEVELİ TEACHER AND ASO
70,Port Elizabeth,ZA,66.49,clear sky,-33.918,25.5701,39 On Nile Guest House
72,Upington,ZA,61.54,clear sky,-28.4478,21.2561,River Place Manor
74,Saint George,US,59.34,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
76,Cockburn Town,TC,80.4,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
77,Beringovskiy,RU,2.07,overcast clouds,63.05,179.3167,Beringgorski
79,Priargunsk,RU,19.58,clear sky,50.3691,119.1012,24 Chasa
80,Zarubino,RU,39.07,scattered clouds,42.63,131.0922,Okean
81,Hilo,US,73.26,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
82,Cape Town,ZA,60.12,light intensity drizzle,-33.9258,18.4232,Southern Sun Waterfront Cape Town
84,Hovd,MN,25.0,overcast clouds,48.0056,91.6419,Hotel Khovd
87,Ovsyanka,RU,36.57,overcast clouds,55.9575,92.5519,Hotel Alsey Krasnoyarsk
88,Artigas,UY,65.28,few clouds,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
89,Ajaccio,FR,39.69,clear sky,42.0,8.9167,Sole E Monte
90,Pindiga,NG,69.48,broken clouds,9.9833,10.9333,Accommodation Center
91,Tasiilaq,GL,29.28,snow,65.6145,-37.6368,The Red House
92,Mangrol,IN,78.82,clear sky,21.1167,70.1167,Hotel The Royal Honours
93,Portland,US,42.19,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
94,Marawi,PH,74.64,broken clouds,7.9986,124.2928,Derogongan Residence
95,Castro,BR,59.07,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
96,Mtwara,TZ,80.28,light rain,-10.2667,40.1833,TIL Hotels Mtwara
97,Rio Tuba,PH,84.11,broken clouds,8.5061,117.4317,Jjas Pension House
98,Khromtau,KZ,27.16,overcast clouds,50.2503,58.4347,Придорожный сервис Кең Дала
99,Lompoc,US,59.31,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
100,Hambantota,LK,82.74,scattered clouds,6.1241,81.1185,Bungalow 63
101,Upernavik,GL,27.25,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
102,Codo,BR,75.47,overcast clouds,-4.4553,-43.8856,Hotel Porto do Sol
103,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
104,Bakel,SN,73.51,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
105,Eureka,US,50.2,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
106,Qaanaaq,GL,20.32,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
107,Port Augusta,AU,84.7,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
108,Pangkalanbuun,ID,83.05,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
109,Barra Do Garcas,BR,71.74,scattered clouds,-15.89,-52.2567,Hotel Pousada Tropical
110,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
111,Iranshahr,IR,67.86,clear sky,27.2025,60.6848,نیک سرشت
113,Garissa,KE,78.73,light rain,-0.4536,39.6401,Sharif Plaza Hotel
114,Yatou,CN,52.65,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
116,Airai,TL,70.99,overcast clouds,-8.9266,125.4092,Juvinal Martin
117,Maniitsoq,GL,26.19,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
118,Kaeo,NZ,75.33,broken clouds,-35.1,173.7833,Bushido Lodge
119,Sabang,ID,81.93,overcast clouds,5.8933,95.3214,Hotel Citra
120,Orsha,BY,26.51,light snow,54.5153,30.4053,Rudakovo Hotel
121,Arys,KZ,44.82,clear sky,42.4252,68.795,Gostinitsa
122,East London,ZA,67.14,light rain,-33.0153,27.9116,Tu Casa
123,Tuatapere,NZ,55.81,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
124,Severo-Kurilsk,RU,34.95,light rain,50.6789,156.125,Kak Doma
125,Mar Del Plata,AR,63.88,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
126,Chico,US,46.49,clear sky,39.7285,-121.8375,Quality Inn Near Chico State
127,Rosa Zarate,EC,72.27,light rain,0.3333,-79.4667,Piscinas y Recepciones Hecalash
128,Mugumu,TZ,66.87,broken clouds,-1.85,34.7,Lemala Mara
129,Kieta,PG,83.03,light rain,-6.2167,155.6333,Uruna Bay Retreat
130,Saint Anthony,US,31.15,light snow,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
131,Barrow,US,12.58,overcast clouds,71.2906,-156.7887,King Eider Inn
132,Sitka,US,28.06,broken clouds,57.0531,-135.33,Westmark Sitka
133,Totness,SR,76.3,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
134,Miyako,JP,52.12,broken clouds,39.6367,141.9525,Hotel Route Inn Miyako
135,Kuytun,RU,21.18,broken clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
137,Bertoua,CM,67.77,overcast clouds,4.5833,13.6833,Hotel De Paris
138,Matina,CR,75.02,broken clouds,10.0761,-83.2895,Hospedaje Lawson
139,Axim,GH,79.09,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
140,Taltal,CL,60.98,overcast clouds,-25.4,-70.4833,Residencial Karime
141,Hinton,CA,9.1,overcast clouds,53.4001,-117.5857,Econo Lodge & Suites
143,Vulcan,RO,36.84,overcast clouds,45.3833,23.2667,Paradisul verde
144,Meadow Lake,US,51.28,clear sky,34.8014,-106.5436,TumbleWeed RV Park
145,New Norfolk,AU,74.7,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
146,Mehamn,NO,33.44,snow,71.0357,27.8492,Mehamn Arctic Hotel AS
147,Grenada,ES,47.91,clear sky,37.1882,-3.6067,HOTEL REINA CRISTINA
148,Chimichagua,CO,75.31,overcast clouds,9.2578,-73.8123,Hospital Imaculada
149,Grindavik,IS,37.87,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
150,Vao,NC,76.84,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
151,Victoria,HK,75.04,broken clouds,22.2855,114.1577,Mini Hotel Central
152,Puerto Ayora,EC,67.23,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
153,Yakeshi,CN,16.11,clear sky,49.2833,120.7333,Longhua Hotel
154,Faanui,PF,80.76,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
155,Bauta,CU,70.99,few clouds,22.9828,-82.5464,El Refugio
156,Bengkulu,ID,84.43,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
157,Fiumicino,IT,48.94,moderate rain,41.7675,12.2291,Al Porticciolo Hotel
159,Hasaki,JP,57.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
160,Valle De Allende,MX,62.2,overcast clouds,26.9333,-105.4,Hotel Meson de San Bartolome
162,Imeni Poliny Osipenko,RU,13.01,overcast clouds,52.4201,136.4853,Yubileynaya
164,Mayskiy,RU,38.44,overcast clouds,47.6931,40.1025,Dio Lakrua
165,Andrews,US,59.09,clear sky,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
167,Gazanjyk,TM,49.57,overcast clouds,39.2446,55.5154,Railway motel
168,Coihaique,CL,48.99,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
169,Gweta,BW,75.56,overcast clouds,-20.1833,25.2333,Gweta Lodge
170,Paamiut,GL,23.56,light snow,61.994,-49.6678,Pistut
173,Hithadhoo,MV,81.59,overcast clouds,-0.6,73.0833,Scoop Guest House
174,Narsaq,GL,25.02,broken clouds,60.9167,-46.05,Sleep In Narsaq
176,Namibe,AO,71.01,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
177,Half Moon Bay,US,56.98,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
178,Lewisporte,CA,27.55,broken clouds,49.2499,-55.0482,Ocean View Bed & Breakfast
179,Hofn,IS,42.57,light rain,64.2539,-15.2082,Hótel Höfn
180,Kavieng,PG,83.46,moderate rain,-2.5744,150.7967,Nusa Island Retreat
181,Bandarbeyla,SO,78.67,clear sky,9.4942,50.8122,JABIR HOTEL
182,Acarau,BR,80.89,broken clouds,-2.8856,-40.12,castelo pizzaria
183,Wajima,JP,48.52,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
184,Guane,CU,69.19,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
185,Ruteng,ID,69.64,overcast clouds,-8.6136,120.4721,Hotel FX 72
186,Kapaa,US,75.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
187,Savannah Bight,HN,78.01,clear sky,16.45,-85.85,Villa on Dunbar Rock
188,Mantua,IT,40.44,overcast clouds,45.1667,10.7833,Hotel la Favorita
190,Phalaborwa,ZA,74.43,light rain,-23.943,31.1411,Bothabelo Bed and Breakfast
192,Bavly,RU,22.95,broken clouds,54.393,53.2602,Neftyanik
194,Geraldton,AU,86.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
195,Rincon,US,58.12,mist,32.296,-81.2354,Days Inn Rincon
196,Port Macquarie,AU,73.89,moderate rain,-31.4333,152.9167,Rydges Port Macquarie
197,Guerrero Negro,MX,61.39,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
199,Penzance,GB,48.76,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
200,Korla,CN,35.51,overcast clouds,41.7597,86.1469,Gulisitan Hotel
201,Krasnyy Chikoy,RU,24.42,scattered clouds,50.3643,108.7512,Persona
204,Cap Malheureux,MU,82.89,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
205,Ahuimanu,US,73.11,light rain,21.4447,-157.8378,Paradise Bay Resort
206,Maragogi,BR,76.5,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
207,Qaqortoq,GL,21.7,broken clouds,60.7167,-46.0333,Siniffik Inn
209,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
210,Chuy,UY,61.92,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
211,Lagoa,PT,62.78,broken clouds,39.05,-27.9833,Casa Das Faias
212,Rosarito,MX,58.08,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
213,Abha,SA,57.45,clear sky,18.2164,42.5053,Abha Hotel
214,Sorong,ID,84.83,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
215,Champerico,GT,79.03,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
216,Lewiston,US,39.4,overcast clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
218,Dandong,CN,41.67,overcast clouds,40.1292,124.3947,Yiranju Farmstay
219,La Rioja,ES,36.48,overcast clouds,42.25,-2.5,Casa Concejos
221,Seddon,AU,84.88,clear sky,-37.8068,144.8916,Footscray Motor Inn
